name,religion,dob,image_urls,political_carrer,civil_status,images,party,occupation
"Hon. Abubucker, Abdul Razak Alim Mohamed, M.P.", : Islam, : 31-03-1912,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. (Alhaj) Abu Bakr, Sellathurai Sundaramoorthy Mohamed, M.P.", : Islam, : 08-02-1941,http://parliament.lk/uploads/images/members/profile_images/thumbs/2034.jpg,"Founder Member of SLMC from 29/11/1986, Deputy Leader and the Chief Organiser (SLMC) for Northern Province 1989", : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2034.jpg', 'path': 'full/1b1ca9dd03cc2c0f7079f8ba787bc0b676794d93.jpg', 'checksum': '1a10dd91898cafdca490c0f1d853278a'}]",Sri Lanka Muslim Congress (SLMC), : Teacher
"Hon. Abeywickrema, Sumanadasa, M.P.", : Buddhism, : 05-02-1928,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. Abeywickrema, Keerthisena Chandradasa, M.P.", : Buddhism, : 20-12-1935,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. (Mrs.) Abhayavardhana, Kusala Vichitra, M.P.",, : 01-11-1920,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_f.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_f.jpg', 'path': 'full/f0c4e89c8a3bec06c9474955034d73a51d16f623.jpg', 'checksum': 'fbc01efbac27fa007e0e629617701c6e'}]",Lanka Sama Samaja Party (LSSP),
"Hon. Abeywickrema, Simon, M.P.", : Buddhism,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. Zuhair, Mohamed Mohamed, M.P.", : Islam, : 11-07-1947,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,Nominated to the People's Allaince by the Sri Lanka Muslim Congress, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",, : Attorney-at-Law
"Hon. Yapa, Mudiyanselage Nawaratna Banda, M.P.", : Buddhism, : 07-07-1965,http://parliament.lk/uploads/images/members/profile_images/thumbs/1434.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1434.jpg', 'path': 'full/416f39304a826321917b7db113522d8e601d6a82.jpg', 'checksum': '1d242c112822402c45da8ebafecc6a08'}]",United People's Freedom Alliance(UPFA),
"Hon. Yogashangary, Veerasingham K., M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Tamil United Liberation Front (TULF),
"Hon. Wljesinghe, Chandrasena Don, M.P.", : Buddhism, : 07-08-1957,http://parliament.lk/uploads/images/members/profile_images/thumbs/330.jpg,Member of the Youth League of Communist Party from 1955 - 1977;  Joined the Janatha Vimukthi Peramuna in 1977;  Electoral Orginser of Hakmana and the Committee Member of the District of Matara in 1983; Taken into custody in 1988;  Functioned as a Member of the Polite Bureau of the JVP after the acquittal in 1994., : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/330.jpg', 'path': 'full/8853d2e02109b42e6001fbc7b42cfcd03654c848.jpg', 'checksum': '393434a68407c1702a48de3114c22f1e'}]",United People's Freedom Alliance(UPFA),
"Hon. Yogeswaran, Vettivelu, M.P.", : Hindu, : 05-02-1934,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Tamil United Liberation Front (TULF),
"Hon. Wimalasiri, Handunnetthi Rannulu, M.P.",, : 29-09-1953,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Wimalasurendra, Devapoora Jinasena, M.P.",, : 17-09-1874,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Ceylon National Congress (CNC),
"Hon. Wimalasena, Nanediri, M.P.",, : 23-03-1914,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. Vytalingam, Sidambarampillai, M.P.",, : 02-04-1903,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Independent (Ind),
"Hon. Uthumalebbe, Mohamed Ibralebe, M.P.", : Islam,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. (Mrs.) UPEKSHA SWARNAMALI, M.P.,, M.P.", : Christianity, : 26-06-1984,http://parliament.lk/uploads/images/members/profile_images/thumbs/3140.jpg,"Active member of United National Party;
A leading member of the speech panel in Presidential Election companign,2010;
Member, Presidential Election observing team2010;
Member of Presidential Election campaign commitie in Gampaha District", : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/3140.jpg', 'path': 'full/8706c4a9e10f8f7fe6cf167e29142f7b9ac7a207.jpg', 'checksum': 'e047e60de9ca40e99aaf25f782118666'}]",United National Party (UNP),
"Hon. Tyagaraja, Jaganathan, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. Suriarachchi, Suriarachchi Kankanamalage Karunadasa, M.P.",, : 05-02-1924,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Rupasinghe, Don Jayawickramage Neil, M.P.", : Buddhism, : 26-09-1942,http://parliament.lk/uploads/images/members/profile_images/thumbs/171.jpg,-, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/171.jpg', 'path': 'full/e1bbefe2cce64e2876d2ab653f837ee6c3e1bd66.jpg', 'checksum': 'a8ebbed88441b29ffbf21fd694ff9941'}]",United People's Freedom Alliance(UPFA), : Businessman
"Hon. RUWAN RANATUNGA, M.P.,, M.P.", : Buddhism, : 20-10-1971,http://parliament.lk/uploads/images/members/profile_images/thumbs/3137.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/3137.jpg', 'path': 'full/50d70def350bc926f57e9004a440570ac8df39da.jpg', 'checksum': '318bdf13dbf3e7334a4cec9d39c798e4'}]",United People's Freedom Alliance(UPFA), : Businessman
"Hon. (Ven Dr.) OMALPE SOBHITHA THERO, M.P., Thero, M.P.", : Buddhism, : 26-05-1950,http://parliament.lk/uploads/images/members/profile_images/thumbs/1498.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1498.jpg', 'path': 'full/98fc8df8869971139ff55bdf160f3886cbc8e41f.jpg', 'checksum': '4b9ea62d287899fe8ac61711dc95b5da'}]",Jathika Hela Urumaya (JHU),
"Hon. Puththirasigamoney, Vadivel, M.P.", : Hindu, : 10-10-1951,http://parliament.lk/uploads/images/members/profile_images/thumbs/288.jpg,Deputy Mayor - M.C. Nuwara-Eliya; Provincial Council Member; Deputy Chairman - Central Provincial Council; Minister Central Provincial Council;, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/288.jpg', 'path': 'full/7478b9c0d94dc0f10c4fa88088defd7b0334255e.jpg', 'checksum': '158350c9ff299c3b1d9a13c49a5faca4'}]",United National Party (UNP), : Agriculturist; Businessman
"Hon. Pushpakumara, W.P.S., M.P.", : Hindu,,http://parliament.lk/uploads/images/members/profile_images/thumbs/1504.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1504.jpg', 'path': 'full/95ca18420979e7d5b7f375b90248d058650021a9.jpg', 'checksum': '28890a68e01a33adb192ccab6aa2ce26'}]",United National Party (UNP),
"Hon. Punchinilame, Galgamuwa Vidanelage, M.P.",, : 21-09-1933,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Punchihewa, Santhakumara, M.P.",, : 14-04-1958,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Punchi Bandara, Ratnayake Mudiyanselage, M.P.",, : 15-04-1935,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Pulendran, Rasa Manohari (Mrs.), M.P.",, : 07-02-1949,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Premathiratnae, Karunamuni Lalin Olitha de Silva, M.P.",, : 06-05-1968,http://parliament.lk/uploads/images/members/profile_images/thumbs/221.jpg,Member of Western Provincial Council - 1998, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/221.jpg', 'path': 'full/47dd2174a70201fe34c4c54de37c415fbdec0a65.jpg', 'checksum': '1319aa2f8604f74a6f944184f27b66e2'}]",United National Party (UNP),
"Hon. Premaratne, Don Siman Ralalage Shantha, M.P.",, : 05-08-1952,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",People's Alliance (PA),
"Hon. Premaratne, Ediriweera, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. Premaratne, Mirihanage Don, M.P.",, : 19-02-1942,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Premajayantha, Achchige Don Susil, M.P.",, : 10-01-1955,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. Premachandra, Hapugoda Rankothge Udayaprema, M.P.",, : 12-04-1910,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Premadasa, Ranasinghe, M.P.",, : 23-06-1924,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Premadasa Champika, Ambatenna Devage, M.P.",, : 04-11-1946,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. Premachandra, Bharatha Lakshman, M.P.",, : 26-01-1956,http://parliament.lk/uploads/images/members/profile_images/thumbs/137.jpg,"Member of the Kolonnawa Urban Council - 1979 & 1983; Leader of the Opposition of the Kolonnawa Urban Council - 1983 ;  Member of the Western Provincial Council - 1988 & 1993; Member of the Parliament - 1994, 2000 & 2001.", : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/137.jpg', 'path': 'full/286e360111bf2fa58d4fab3d2b7f168e87d10233.jpg', 'checksum': '1acb1c0f8a0e23df07149bcbd6c20fd2'}]",People's Alliance (PA),
"Hon. Premachandra, A. M. Munidasa, M.P.", : Buddhism, : 24-09-1949,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,A member of the SLFP - 1967;Private Sectretary to Hon. L.B. jayasena MP and Provincial Councillor- Bingiriya;Won the General Election 1977 contesting the Bingiriya Seat;Chief organizer in Bingiriya Electorate from 1977., : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Sri Lanka Freedom Party(SLFP), : Farming ; Business
"Hon. Poulier, Reginald Sydney Vernon, M.P.",, : 03-08-1894,http://parliament.lk/uploads/images/members/profile_images/thumbs/2557.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2557.jpg', 'path': 'full/bfe2c064ef06d0158fb121dc7d4c4974a066386a.jpg', 'checksum': 'effbfb32c6b8bd259caed30bbce727f9'}]",,
"Hon. PON. SELVARASA, M.P.,, M.P.", : Hindu, : 25-07-1946,http://parliament.lk/uploads/images/members/profile_images/thumbs/2949.jpg,Deputy Leader- Ilankai Thamil Arasukkatchi, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2949.jpg', 'path': 'full/8e00c6c7ca3ece0b51abe0adfc4cf584dcf5ce9a.jpg', 'checksum': '7085e6c05468e34abb4a9dd6429d2c9c'}]",Illankai Tamil Arasu Kadchi (ITAK), : Retired Government Officer
"Hon. Ponnambalam, Ganapathipillai Gangaser, M.P.",, : 08-11-1901,http://parliament.lk/uploads/images/members/profile_images/thumbs/2556.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2556.jpg', 'path': 'full/be50831bbd90686946f10f4d16ca70aff4053cef.jpg', 'checksum': 'f0adeb3369061288667251eb0b405fc3'}]",Tamil Congress (TC),
"Hon. ANURUDDHA POLGAMPALA, M.P.,, M.P.",, : 24-09-1972,http://parliament.lk/uploads/images/members/profile_images/thumbs/1484.jpg,Served as a Minister for 3 years in Sabaragamuwa Provincial Council, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1484.jpg', 'path': 'full/4ca2c3701965e5963d86b72901ca71cdc6979354.jpg', 'checksum': '69a23c4da41979057b40db7bebeabbfe'}]",United People's Freedom Alliance(UPFA),
"Hon. Poholiyadde Dissawa, Tikiri Banda, M.P.",, : 10-07-1890,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Piyasoma Upali, M.P.", : Buddhism, : 02-05-1953,http://parliament.lk/uploads/images/members/profile_images/thumbs/66.jpg,Member of the Development Council 1980; Chairman Kuliyapitiya Pradeshiya Sabha 1987; Vice Chairman Wayamba Provincial Council; Member of Parliament 1988 - 2000, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/66.jpg', 'path': 'full/940e3164e5471758bcc3842f5659254354fb45a0.jpg', 'checksum': '4c4549be36b3b1657151cb165a9f9dbc'}]",United National Party (UNP), : Agriculturist; Businessman
"Hon. Piyasiri, Handunnrtti Rannulu, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Piyadasa, Suduweli Kondage, M.P.",, : 10-03-1928,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. MR. P. ABEYNAYAKE, M.P.,, M.P.", : Buddhism, : 17-10-1952,http://parliament.lk/uploads/images/members/profile_images/thumbs/51.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/51.jpg', 'path': 'full/1bb37b828bd7c532cbfa1b6acdf2a81cf8d54a94.jpg', 'checksum': '0e6edbb63b526a9ddd15ea3a39d9d32f'}]",United National Party (UNP),
"Hon. Pilapitiya, Abeyratne Bandara Herath, M.P.",, : 25-05-1925,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. PHILIPS KUMARASINGHE SRI LIYANAGE, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United People's Freedom Alliance(UPFA),
"Hon. P. DAYARATNA, M.P.,, M.P.", : Buddhism, : 01-10-1936,http://parliament.lk/uploads/images/members/profile_images/thumbs/110.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/110.jpg', 'path': 'full/3eff48c857c7d5c16b0fd9a2d360727570a5285d.jpg', 'checksum': 'a4fb18a50d43fcd5cafe0a13b4c13e74'}]",United People's Freedom Alliance(UPFA), : Chartered Engineer
"Hon. P. RADHAKRISHNAN, M.P.,, M.P.", : Hindu, : 30-04-1941,http://parliament.lk/uploads/images/members/profile_images/thumbs/303.jpg,-, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/303.jpg', 'path': 'full/ab9bba608bc338454ae75feb65d8b616dd86ca18.jpg', 'checksum': '2ff909ce2d0f53fb4dc3946a0c81418e'}]",United National Party (UNP), : Company Director
